set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm}
,,1.000,0.770,2,0.673,1.000,0.920,  3.32, 3.18,0.001, 32, 36, -8
,,1.000,0.770,3,0.595,1.000,0.920,  3.32, 3.18,0.001, -4, -6, 68
,,1.000,0.770,2,0.673,1.000,0.930,  3.31, 3.17,0.001,-46,-64,  0
,,1.000,0.770,2,0.673,1.000,0.930,  3.30, 3.16,0.001,-32,-54,-46
,,1.000,0.770,2,0.673,1.000,0.930,  3.28, 3.15,0.001, 54,-44,  4
,,1.000,0.770,2,0.673,1.000,0.930,  3.28, 3.14,0.001, 48,-36, -8
,,1.000,0.770,2,0.673,1.000,0.930,  3.28, 3.14,0.001,-14, 34, 16
,,1.000,0.770,3,0.595,1.000,0.930,  3.27, 3.13,0.001, 14,-10,  4
,,1.000,0.770,2,0.673,1.000,0.930,  3.27, 3.13,0.001,-10,  2, 60
,,1.000,0.770,2,0.673,1.000,0.930,  3.26, 3.13,0.001, 22, 10, 64
